Chromosome,-log10(P-value),Log2 Fold Change,Gene,Ensembl ID
chr5,86.31,6.578,HNRNPA0,ENSG00000177733.7_4
chrM,96.688,6.561,MT-RNR1,ENSG00000211459.2
chr5,22.442,6.549,HNRNPA0,ENSG00000177733.7_4
chr20,400.0,6.395,RPS21,ENSG00000171858.18_3
chr20,400.0,6.262,RPS21,ENSG00000171858.18_3
chr2,27.02,6.236,GORASP2,ENSG00000115806.13_3
chr20,85.737,6.201,RPS21,ENSG00000171858.18_3
chr18,16.556,6.059,ATP9B,ENSG00000166377.20_6
chr18,16.556,6.059,ATP9B,ENSG00000166377.20_6
chr6,69.116,5.929,HIST1H4B,ENSG00000124529.3
chr5,31.974,5.865,HNRNPA0,ENSG00000177733.7_4
chr6,33.176,5.784,H4C4,ENSG00000277157.1_3
chr5,63.08,5.784,HNRNPA0,ENSG00000177733.7_4
chr1,24.697,5.71,RBM8A,ENSG00000265241.6_5
chr6,43.258,5.667,HIST1H4B,ENSG00000124529.3
chr11,19.102,5.616,AAMDC,ENSG00000087884.14_6
chr19,16.728,5.605,,
chr6,42.171,5.587,H4C3,ENSG00000197061.4_3
chrX,23.615,5.583,RPL39,ENSG00000198918.8_4
chrX,23.615,5.583,RPL39,ENSG00000198918.8_4
chr6,40.161,5.58,H4C3,ENSG00000197061.4_3
chr22,13.468,5.567,SPECC1L,ENSG00000100014.20_6
chr8,40.321,5.565,RPL30,ENSG00000156482.11_4
chr2,13.73,5.528,,
chr1,11.842,5.523,RAB4A,ENSG00000168118.12_4
chr9,11.842,5.502,PBX3,ENSG00000167081.18_5
chr8,13.73,5.473,TNFRSF10D,ENSG00000173530.6_4
chr12,9.706,5.472,PDE3A,ENSG00000172572.6_3
chr19,24.321,5.459,CIRBP,ENSG00000099622.14_7
chr1,16.005,5.442,,
chr1,16.005,5.442,,
chr6,23.615,5.439,AMD1,ENSG00000123505.18_7
chr4,21.349,5.438,SLC30A9,ENSG00000014824.14_4
chr5,61.389,5.432,HNRNPA0,ENSG00000177733.7_4
chr8,39.561,5.428,RPL30,ENSG00000156482.11_4
chr18,7.262,5.384,MEX3C,ENSG00000176624.11_5
chr1,29.646,5.365,RYR2,ENSG00000198626.17_6
chr20,38.557,5.346,RPS21,ENSG00000171858.18_3
chr12,8.999,5.331,PTPN11,ENSG00000179295.17_3
chr1,25.763,5.321,TOMM20,ENSG00000173726.11_4
chr6,34.63,5.319,HIST1H4B,ENSG00000124529.3
chr18,14.545,5.315,TIMM21,ENSG00000075336.12_4
chr12,12.106,5.303,PTPN11,ENSG00000179295.17_3
chr5,28.867,5.277,HNRNPA0,ENSG00000177733.7_4
chrX,16.188,5.256,MMGT1,ENSG00000169446.5_3
chr1,13.981,5.255,DEGS1,ENSG00000143753.13_4
chrX,11.842,5.245,MMGT1,ENSG00000169446.5_3
chr5,63.629,5.237,HNRNPA0,ENSG00000177733.7_4
chr5,23.527,5.234,HNRNPA0,ENSG00000177733.7_4
chr10,10.514,5.233,WDR37,ENSG00000047056.16_5
chr6,57.083,5.229,H4C3,ENSG00000197061.4_3
chr19,15.723,5.226,AC008878.3|ARHGEF18,ENSG00000104880.18_4||ENSG00000268861.7_7
chr8,38.062,5.21,RPL30,ENSG00000156482.11_4
chr6,68.731,5.194,H4C5,ENSG00000276966.2_3
chr10,13.707,5.188,STAM,ENSG00000136738.15_3
chr6,14.774,5.187,SOX4,ENSG00000124766.7_4
chr4,10.018,5.172,TBC1D14,ENSG00000132405.19_5
chr7,10.791,5.151,AC104688.1,ENSG00000233689.2_6
chr7,10.791,5.151,AC104688.1,ENSG00000233689.2_6
chr17,11.313,5.142,PAFAH1B1,ENSG00000007168.13_4
chr7,13.987,5.136,AC004692.1,ENSG00000213717.3_5
chr19,71.474,5.135,RPS16,ENSG00000105193.9_4
chr1,7.79,5.133,PSMB4,ENSG00000159377.11_3
chr7,13.987,5.126,AC004692.1,ENSG00000213717.3_5
chr9,14.822,5.111,GCNT1,ENSG00000187210.14_5
chr4,8.891,5.1,SETD7,ENSG00000145391.13_4
chr5,19.833,5.096,HNRNPA0,ENSG00000177733.7_4
chr19,10.514,5.095,AC008878.3|ARHGEF18,ENSG00000104880.18_4||ENSG00000268861.7_7
chr1,9.976,5.074,RAB4A,ENSG00000168118.12_4
chr6,42.272,5.065,H4C3,ENSG00000197061.4_3
chr6,21.957,5.057,RPS17P5,ENSG00000060303.5_2
chr22,12.676,5.055,CERK,ENSG00000100422.14_4
chr19,43.166,5.034,CIRBP,ENSG00000099622.14_7
chr20,14.545,5.034,APMAP,ENSG00000101474.12_5
chr6,15.909,5.011,SOX4,ENSG00000124766.7_4
chr19,27.824,4.99,CIRBP,ENSG00000099622.14_7
chr3,11.75,4.986,NT5DC2,ENSG00000168268.11_4
chr6,28.08,4.984,SOX4,ENSG00000124766.7_4
chr15,51.569,4.984,SNORD18C|RPL4,ENSG00000174444.15_5||ENSG00000199574.1
chr7,29.38,4.977,RNY1,ENSG00000201098.1
chr1,13.425,4.968,ENAH,ENSG00000154380.17_6
chr2,19.587,4.965,STARD7,ENSG00000084090.13_6
chr8,5.967,4.963,TNKS,ENSG00000173273.16_3
chr14,9.445,4.962,CNIH1,ENSG00000100528.12_5
chr19,9.448,4.96,ELAVL1,ENSG00000066044.15_5
chr7,28.577,4.96,RNY1,ENSG00000201098.1
chr1,15.912,4.955,TOMM20,ENSG00000173726.11_4
chr5,44.007,4.955,HNRNPAB,ENSG00000197451.12_4
chr7,28.308,4.955,RNY1,ENSG00000201098.1
chr8,68.776,4.954,PABPC1,ENSG00000070756.16_7
chr3,11.578,4.952,SRPRB,ENSG00000144867.12_5
chr8,6.745,4.95,JPH1,ENSG00000104369.5_4
chr19,55.38,4.944,CIRBP,ENSG00000099622.14_7
chr15,50.181,4.942,SNORD18C|RPL4,ENSG00000174444.15_5||ENSG00000199574.1
chr21,16.728,4.941,TTC3,ENSG00000182670.13_3
chr14,13.156,4.933,DICER1,ENSG00000100697.14_5
chr1,24.344,4.927,SKI,ENSG00000157933.10_3
chr7,24.302,4.925,CALU,ENSG00000128595.17_6
chr8,12.509,4.923,AGO2,ENSG00000123908.12_5
chr1,29.91,4.922,SKI,ENSG00000157933.10_3
chr19,36.985,4.894,CIRBP,ENSG00000099622.14_7
chr19,41.374,4.883,HNRNPUL1,ENSG00000105323.17_5
chr9,9.703,4.879,AL161626.1,ENSG00000241781.2
chr8,11.068,4.874,TNFRSF10D,ENSG00000173530.6_4
chr12,6.68,4.87,PTPN11,ENSG00000179295.17_3
chr17,21.596,4.862,SNHG16,ENSG00000163597.15_3
chr7,9.435,4.858,DNAJB6,ENSG00000105993.15_6
chr21,34.501,4.853,TTC3,ENSG00000182670.13_3
chr6,13.205,4.848,TXNDC5,ENSG00000239264.9_5
chr6,14.325,4.847,ADCY10P1,ENSG00000161912.18_4
chr12,11.578,4.841,SLC38A1,ENSG00000111371.16_5
chr8,46.65,4.841,PABPC1,ENSG00000070756.16_7
chr2,8.231,4.841,EEF1B2,ENSG00000114942.14_3
chr17,5.967,4.835,RAB40B,ENSG00000141542.11_4
chr19,9.706,4.83,AC008878.3|ARHGEF18,ENSG00000104880.18_4||ENSG00000268861.7_7
chr4,26.485,4.829,DANCR,ENSG00000226950.7_6
chr6,5.707,4.827,UBE2J1,ENSG00000198833.7_4
chr12,5.446,4.818,VPS37B,ENSG00000139722.7_7
chr20,10.514,4.814,DIDO1,ENSG00000101191.17_4
chr6,28.204,4.812,TXNDC5,ENSG00000239264.9_5
chr17,41.923,4.811,USP22,ENSG00000124422.12_6
chr5,45.934,4.809,HNRNPA0,ENSG00000177733.7_4
chr17,11.75,4.809,USP22,ENSG00000124422.12_6
chr10,12.106,4.794,PSAP,ENSG00000197746.14_5
chr22,15.292,4.794,CERK,ENSG00000100422.14_4
chr9,27.094,4.789,SNORD36C,ENSG00000252542.1
chr5,26.485,4.787,HNRNPA0,ENSG00000177733.7_4
chr2,6.421,4.785,ATP5MC3,ENSG00000154518.9_4
chr1,10.245,4.775,DESI2,ENSG00000121644.19_3
chr11,15.292,4.773,RBM14,ENSG00000239306.4_3
