Chromosome,-log10(P-value),Log2 Fold Change,Gene,Ensembl ID
chr1,42.851,7.212,RYR2,ENSG00000198626.17_6
chr2,29.854,7.124,,
chrM,400.0,7.058,MT-RNR1,ENSG00000211459.2
chr1,27.632,6.815,RYR2,ENSG00000198626.17_6
chr11,29.186,6.792,AAMDC,ENSG00000087884.14_6
chr20,400.0,6.386,RPS21,ENSG00000171858.18_3
chr20,400.0,6.267,RPS21,ENSG00000171858.18_3
chr8,21.351,6.239,,
chr7,16.569,6.139,AC004692.1,ENSG00000213717.3_5
chr7,16.569,6.139,AC004692.1,ENSG00000213717.3_5
chr19,48.159,6.087,AC011447.1|ZNF90,ENSG00000213988.11_4||ENSG00000224864.4_5
chr11,9.642,5.943,MTRNR2L8,ENSG00000255823.5_4
chr1,14.686,5.762,,
chr10,19.752,5.675,GHITM,ENSG00000165678.21_4
chr12,14.737,5.671,PDE3A,ENSG00000172572.6_3
chr19,11.485,5.659,,
chrM,65.649,5.61,MT-RNR1,ENSG00000211459.2
chr9,20.809,5.568,AL161626.1,ENSG00000241781.2
chr8,69.546,5.554,RPL30,ENSG00000156482.11_4
chr8,69.546,5.552,RPL30,ENSG00000156482.11_4
chr6,53.367,5.477,HIST1H4B,ENSG00000124529.3
chr11,15.103,5.475,GANAB,ENSG00000089597.18_5
chr1,13.52,5.454,,
chr19,400.0,5.452,RPS19,ENSG00000105372.8_6
chr10,28.559,5.385,SCD,ENSG00000099194.6_3
chr6,54.7,5.379,H4C3,ENSG00000197061.4_3
chr9,8.2,5.376,DOLPP1,ENSG00000167130.18_5
chr12,41.433,5.355,CCT2,ENSG00000166226.13_3
chr7,23.714,5.294,KDELR2,ENSG00000136240.10_5
chr20,9.726,5.293,POFUT1,ENSG00000101346.14_4
chr16,21.514,5.29,UBFD1,ENSG00000103353.16_5
chr17,20.085,5.276,SYNGR2,ENSG00000108639.7_5
chr7,30.053,5.252,RNY1,ENSG00000201098.1
chr7,30.053,5.252,RNY1,ENSG00000201098.1
chr7,30.053,5.252,RNY1,ENSG00000201098.1
chr16,10.728,5.235,RNPS1,ENSG00000205937.12_8
chr5,4.998,5.215,,
chr8,13.061,5.176,RPL30,ENSG00000156482.11_4
chr11,7.877,5.164,B4GAT1,ENSG00000174684.7_4
chr1,7.776,5.133,H3C15,ENSG00000203852.3_3
chr1,7.776,5.133,H3C15,ENSG00000203852.3_3
chr1,7.776,5.133,H3C15,ENSG00000203852.3_3
chr1,7.776,5.133,H3C15,ENSG00000203852.3_3
chr1,4.998,5.127,MPZL1,ENSG00000197965.12_5
chr7,6.927,5.113,ABCA13,ENSG00000179869.15_5
chr3,8.2,5.096,SLC33A1,ENSG00000169359.16_7
chr19,400.0,5.095,RPS19,ENSG00000105372.8_6
chr16,23.486,5.058,ARL6IP1,ENSG00000170540.15_5
chr1,5.703,5.057,SLC2A1,ENSG00000117394.23_7
chr3,5.703,5.057,TMEM39A,ENSG00000176142.13_5
chr19,24.347,5.051,SLC1A5,ENSG00000105281.12_5
chr19,20.459,5.044,ARHGEF18|AC008878.3,ENSG00000104880.18_4||ENSG00000268861.7_7
chr16,8.56,5.044,AC135050.2|VKORC1,ENSG00000255439.6_8||ENSG00000167397.15_5
chr3,8.01,5.041,TMEM43,ENSG00000170876.7_3
chr17,25.534,5.024,SYNGR2,ENSG00000108639.7_5
chr6,13.704,5.023,H2AC4,ENSG00000278463.1_3
chr1,14.276,5.012,TOMM20,ENSG00000173726.11_4
chr10,5.257,5.004,FAM171A1,ENSG00000148468.17_4
chr6,53.138,4.998,HIST1H4B,ENSG00000124529.3
chr11,45.748,4.992,AC024293.1,ENSG00000244313.3_5
chr7,9.642,4.983,MTRNR2L6,ENSG00000270672.1_2
chr7,14.753,4.972,KDELR2,ENSG00000136240.10_5
chr1,6.057,4.97,MGST3,ENSG00000143198.13_3
chr12,11.132,4.948,BRI3BP,ENSG00000184992.13_6
chr3,15.698,4.943,SNORD19B,ENSG00000252787.1
chr11,11.277,4.917,TMX2,ENSG00000213593.10_4
chrX,6.768,4.911,TSPAN6,ENSG00000000003.15_4
chr2,5.703,4.896,,
chr6,41.275,4.879,H4C3,ENSG00000197061.4_3
chr2,6.61,4.865,,
chr6,15.236,4.846,PERP,ENSG00000112378.12_4
chr1,15.156,4.838,MANEAL,ENSG00000185090.14_3
chr2,12.182,4.836,ITM2C,ENSG00000135916.16_6
chr10,11.621,4.831,ALDH18A1,ENSG00000059573.9_4
chr11,17.198,4.826,GANAB,ENSG00000089597.18_5
chr20,5.703,4.82,TM9SF4,ENSG00000101337.16_5
chr2,4.998,4.811,,
chr12,16.479,4.808,TUBA1C,ENSG00000167553.15_3
chr14,4.648,4.8,PSEN1,ENSG00000080815.19_6
chr12,8.202,4.8,AC079949.1,ENSG00000239776.2
chr11,14.403,4.799,TMX2,ENSG00000213593.10_4
chr11,43.68,4.799,CD81,ENSG00000110651.11_5
chr1,8.385,4.79,GALNT2,ENSG00000143641.10_3
chr21,16.643,4.789,GET1,ENSG00000182093.16_6
chr20,6.412,4.788,RPL37P1,ENSG00000227401.1_2
chr18,6.27,4.784,AC011825.1,ENSG00000214917.3_5
chr18,6.27,4.784,AC011825.1,ENSG00000214917.3_5
chr20,54.752,4.783,RPS21,ENSG00000171858.18_3
chr19,63.818,4.745,RPS19,ENSG00000105372.8_6
chr17,15.103,4.735,RNASEK,ENSG00000219200.6
chr4,3.952,4.73,KIT,ENSG00000157404.15_2
chr5,3.264,4.73,,
chr7,15.044,4.72,KDELR2,ENSG00000136240.10_5
chr19,18.423,4.71,AC008878.3|ARHGEF18,ENSG00000104880.18_4||ENSG00000268861.7_7
chr2,26.671,4.709,RPLP0P6,ENSG00000213553.4_4
chr19,67.52,4.693,RPS19,ENSG00000105372.8_6
chr19,61.908,4.689,RPS16,ENSG00000105193.9_4
chr16,5.661,4.689,UBE2I,ENSG00000103275.20_4
chr19,13.259,4.683,ARHGEF18|AC008878.3,ENSG00000268861.7_7||ENSG00000104880.18_4
chr21,11.621,4.68,CXADR,ENSG00000154639.19_3
chr16,11.818,4.675,SF3B3,ENSG00000189091.13_5
chr2,3.264,4.672,,
chr1,3.607,4.672,ADAM15,ENSG00000143537.13_3
chr13,8.2,4.657,FREM2,ENSG00000150893.11_3
chr17,6.295,4.657,RETREG3,ENSG00000141699.11_8
chr2,4.998,4.65,SMC6,ENSG00000163029.16_4
chr15,4.648,4.647,MFGE8,ENSG00000140545.15_5
chr19,56.966,4.643,RPS19,ENSG00000105372.8_6
chr12,3.264,4.642,TUBA1C,ENSG00000167553.15_3
chr20,32.339,4.629,APMAP,ENSG00000101474.12_5
chr22,25.066,4.624,Z97353.1,ENSG00000231369.1_6
chr1,7.639,4.624,SLC2A1,ENSG00000117394.23_7
chr1,12.493,4.618,DHCR24,ENSG00000116133.13_5
chr10,8.2,4.615,GHITM,ENSG00000165678.21_4
chr16,7.323,4.608,VKORC1,ENSG00000167397.15_5
chr5,32.042,4.592,HINT1,ENSG00000169567.12_4
chr5,53.418,4.59,HNRNPAB,ENSG00000197451.12_4
chr11,9.642,4.579,HYOU1,ENSG00000149428.19_8
chr11,29.89,4.577,CD81,ENSG00000110651.11_5
chr19,6.057,4.567,GPX4,ENSG00000167468.17_6
chr20,9.642,4.556,TOP1,ENSG00000198900.6_3
chr1,11.621,4.552,ADAM15,ENSG00000143537.13_3
chr5,10.428,4.544,,
chr19,72.731,4.543,RPS19,ENSG00000105372.8_6
chr5,56.276,4.534,RACK1,ENSG00000204628.12_7
chr16,22.542,4.523,ARL6IP1,ENSG00000170540.15_5
chr17,23.188,4.523,SYNGR2,ENSG00000108639.7_5
chr3,8.897,4.522,HACD2,ENSG00000206527.10_6
chr2,11.967,4.521,ATRAID,ENSG00000138085.16_7
chr2,19.468,4.519,ATP5MC3,ENSG00000154518.9_4
chr19,26.989,4.519,AC011447.1|ZNF90,ENSG00000213988.11_4||ENSG00000224864.4_5
chr17,9.225,4.516,SYNGR2,ENSG00000108639.7_5
chr14,8.679,4.508,CNIH1,ENSG00000100528.12_5
chrX,13.259,4.507,PRDX4,ENSG00000123131.13_3
chr10,4.648,4.507,SEPHS1,ENSG00000086475.15_4
chr10,19.084,4.507,GHITM,ENSG00000165678.21_4
chr5,9.376,4.505,GM2A,ENSG00000196743.9_4
chr14,5.257,4.504,PSMA6,ENSG00000100902.11_6
chr11,26.473,4.503,RPS3,ENSG00000149273.15_4
chr2,10.428,4.501,ITM2C,ENSG00000135916.16_6
chr11,6.952,4.5,SELENOH,ENSG00000211450.10_9
chr15,12.654,4.499,TMED3,ENSG00000166557.13_4
chr21,10.809,4.49,PTTG1IP,ENSG00000183255.12_5
chr11,4.411,4.486,WEE1,ENSG00000166483.11_4
chr19,9.565,4.486,DNAJB1,ENSG00000132002.8_6
chr19,10.809,4.484,ARHGEF18|AC008878.3,ENSG00000104880.18_4||ENSG00000268861.7_7
chr2,11.132,4.481,,
chr17,20.209,4.48,CLTC,ENSG00000141367.12_5
chr1,27.88,4.48,ATP6V0B,ENSG00000117410.14_4
chr5,5.931,4.47,CAMLG,ENSG00000164615.5_3
chr6,13.972,4.465,RPS17P5,ENSG00000060303.5_2
chrX,3.607,4.465,GPM6B,ENSG00000046653.15_5
chr19,23.727,4.46,RPS16,ENSG00000105193.9_4
chr6,13.972,4.455,RPS17P5,ENSG00000060303.5_2
chr8,3.952,4.454,TM2D2,ENSG00000169490.17_5
chr13,9.905,4.445,TM9SF2,ENSG00000125304.10_5
chr3,3.607,4.443,ALG3,ENSG00000214160.10_4
chr17,10.076,4.44,GAA,ENSG00000171298.13_5
